message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=9.528387, y=11.115307])";"30";"turtlesim1.sim";"1760091223.169285591";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9.510329, y=11.115307])";"30";"turtlesim1.sim";"1760091223.153227825";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9.492271, y=11.115307])";"30";"turtlesim1.sim";"1760091223.136893265";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9.474212, y=11.115307])";"30";"turtlesim1.sim";"1760091223.121365153";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9.456154, y=11.115307])";"30";"turtlesim1.sim";"1760091223.104713128";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9.438096, y=11.115307])";"30";"turtlesim1.sim";"1760091223.089323159";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9.420038, y=11.115307])";"30";"turtlesim1.sim";"1760091223.072823530";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9.401979, y=11.115307])";"30";"turtlesim1.sim";"1760091223.056895125";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9.383921, y=11.115307])";"30";"turtlesim1.sim";"1760091223.041258852";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9.365863, y=11.115307])";"30";"turtlesim1.sim";"1760091223.025268280";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9.347805, y=11.115307])";"30";"turtlesim1.sim";"1760091223.009420383";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9.329746, y=11.115307])";"30";"turtlesim1.sim";"1760091222.992859497";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9.311688, y=11.115307])";"30";"turtlesim1.sim";"1760091222.977088161";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9.293630, y=11.115307])";"30";"turtlesim1.sim";"1760091222.960710324";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9.275571, y=11.115307])";"30";"turtlesim1.sim";"1760091222.944992791";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9.257513, y=11.115307])";"30";"turtlesim1.sim";"1760091222.929404869";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9.239455, y=11.115307])";"30";"turtlesim1.sim";"1760091222.913478521";"./src/turtle.cpp:update:260"
